Player,TEAM,AB,Hits,Runs,RBI,1B,2B,3B,HR,BB,BA,OBP,SLG,OPS,MG,,TEAM,GP,AB,Hits,Runs,RBI,1B,2B,3B,HR,BB,BA,OBP,SLG,OPS,MG
MATHEW MANOCHIO,DP,87,42,26,6,37,5,0,0,0,0.483,0.483,0.540,1.023,0,,,,,,,,,,,,,,,,,
JOSEPH TRACY,EB,77,37,24,22,28,7,1,1,7,0.481,0.524,0.636,1.160,1,,,,,,,,,,,,,,,,,
MICHAEL WEITSEN,JB,69,33,21,14,23,5,2,3,5,0.478,0.514,0.739,1.253,2,,,,,,,,,,,,,,,,,
WILLIAM ALLEN,TW,82,39,22,25,33,6,0,0,1,0.476,0.482,0.549,1.031,1,,,,,,,,,,,,,,,,,
MICHAEL CORNACCHIA,MG,59,28,15,4,27,1,0,0,3,0.475,0.500,0.492,0.992,3,,,,,,,,,,,,,,,,,
DAVID CLAMPFFER,EB,53,25,14,10,19,6,0,0,3,0.472,0.500,0.585,1.085,6,,,,,,,,,,,,,,,,,
DAVE POLZER,DP,70,33,15,20,30,3,0,0,10,0.471,0.538,0.514,1.052,0,,,,,,,,,,,,,,,,,
JARED KOSHEFSKY,MC,68,32,15,8,29,1,1,0,5,0.471,0.507,0.500,1.007,3,,,,,,,,,,,,,,,,,
DARRON HARPER,ER,83,39,34,23,30,4,2,3,5,0.470,0.500,0.675,1.175,2,,,,,,,,,,,,,,,,,
EMILE RYTHMEL,GM,64,30,19,18,23,5,2,0,5,0.469,0.507,0.609,1.117,3,,,,,,,,,,,,,,,,,
MIKE CONTI,MC,81,38,29,23,24,7,2,5,8,0.469,0.517,0.790,1.307,0,,,,,,,,,,,,,,,,,
JORDAN ROSENTHAL,SD,75,35,19,22,24,9,0,3,11,0.467,0.535,0.720,1.255,2,,,,,,,,,,,,,,,,,
MARK ZIOLKOWSKI,TW,15,7,3,6,4,1,0,2,5,0.467,0.600,0.933,1.533,6,,,,,,,,,,,,,,,,,
MICHAEL CARL,FL,73,34,21,25,27,7,0,0,4,0.466,0.494,0.562,1.055,2,,,,,,,,,,,,,,,,,
NICK DINAPOLI,TW,86,40,24,13,33,5,1,1,4,0.465,0.489,0.581,1.070,0,,,,,,,,,,,,,,,,,
PABLO GONZALES,BK,54,25,19,23,14,6,1,4,1,0.463,0.473,0.833,1.306,8,,,,,,,,,,,,,,,,,
BOB BILODEAU,GM,78,36,17,22,20,11,4,2,2,0.462,0.475,0.795,1.270,0,,,,,,,,,,,,,,,,,
MITCH POLLOCK,MP,78,36,21,18,26,6,2,2,4,0.462,0.488,0.667,1.154,3,,,,,,,,,,,,,,,,,
LEWIS COSTA,MC,76,35,15,33,25,6,3,1,3,0.461,0.481,0.658,1.139,0,,,,,,,,,,,,,,,,,
